estado_nombre,estado_cod
Aguascalientes ,AS 
Baja California ,BC 
Baja California Sur ,BS 
Campeche ,CC 
Chiapas ,CS 
Chihuahua ,CH 
Ciudad de México ,DF 
Coahuila ,CL 
Colima ,CM 
Durango ,DG 
Guanajuato ,GT 
Guerrero ,GR 
Hidalgo ,HG 
Jalisco ,JC 
México ,MC 
Michoacán ,MN 
Morelos ,MS 
Nayarit ,NT 
Nuevo León ,NL 
Oaxaca ,OC 
Puebla ,PL 
Querétaro ,QO 
Quintana Roo ,QR 
San Luis Potosí ,SP 
Sinaloa ,SL 
Sonora ,SR 
Tabasco ,TC 
Tamaulipas ,TS 
Tlaxcala ,TL 
Veracruz ,VZ 
Yucatán ,YN 
Zacatecas ,ZS 
Nacido en el extranjero,NE
